ACTIVITY,BP,HR,CIRCLUATION
3,13,79,317
2,20,54,165
2,46,67,224
4,26,138,554
4,85,120,809
5,22,95,427
3,35,157,1519
3,15,196,1885
0,56,249,2826
4,82,315,5844
0,81,133,847
5,61,214,1469
0,97,207,3048
0,59,104,652
4,44,156,654
3,16,188,2599
3,53,223,2059
0,23,100,485
0,41,126,371
0,85,237,4804
0,24,126,765
3,38,322,4619
2,10,79,317
3,32,40,100
4,170,308,6057
2,43,234,1581
0,73,464,10829
3,47,235,4905
0,264,465,8741
2,97,130,490
4,49,273,2061
4,91,388,6290
0,66,284,6506
3,88,388,6290
0,61,390,6741
2,56,234,1581
4,47,67,224
3,25,247,2754
3,129,205,1751
4,18,220,3450
4,33,40,100
0,18,111,345
0,242,487,10978
0,63,299,7334
3,90,120,809
0,92,365,3633
5,60,159,2181
3,122,88,318
4,101,158,1403
2,21,138,554
5,51,483,15505
5,28,174,1415
1,148,247,3373
2,55,271,4426
3,20,193,2118
4,87,176,1922
5,47,262,3211
3,93,403,6746
2,65,352,6744
0,29,210,2894
0,15,88,318
3,47,234,2464
0,48,368,5025
2,59,483,15505
3,92,136,619
2,93,449,5537
0,57,108,517
0,13,142,1255
4,76,158,1403
3,66,403,6746
5,63,272,3539
4,70,101,249
0,33,199,2061
3,50,254,3885
5,161,109,486
4,55,172,973
0,28,165,1524
4,41,196,1997
0,47,311,3802
3,14,220,3450
4,21,102,764
3,82,120,809
0,176,233,2325
0,23,138,1206
4,12,96,804
5,71,223,2822
3,25,220,3450
3,45,483,15505
5,116,171,1747
5,42,262,3211
2,8,105,765
4,92,33,5
4,27,247,2754
0,34,209,1524
0,61,273,2129
4,48,272,3539
5,31,179,1626
0,87,407,10820
0,34,101,586
2,10,79,317
5,70,262,3211
0,40,175,1868
5,99,209,2534
3,95,156,1521
4,47,67,224
1,30,183,931
0,77,125,889
5,31,96,804
3,83,540,8870
4,58,320,3466
4,21,138,554
0,12,80,316
0,17,145,1357
4,129,208,1691
2,20,54,165
0,26,145,768
4,117,208,1691
2,20,54,165
5,23,72,340
5,72,468,9276
3,47,154,587
0,46,95,344
5,26,102,516
2,21,54,165
4,35,179,1626
2,158,305,2610
4,37,223,2822
3,30,156,1364
3,31,156,1364
0,40,339,7341
2,8,79,292
3,45,156,1364
0,17,147,1018
3,48,273,2061
3,37,272,3539
3,43,235,4905
3,91,120,809
0,45,430,6635
3,179,308,6057
3,12,105,765
4,24,174,1415
2,20,138,554
4,29,86,205
4,12,79,292
0,252,350,7945
1,26,249,3630
3,26,247,2754
2,75,104,457
4,76,176,1922
0,16,137,399
2,54,235,4905
3,41,196,1997
2,98,130,490
5,21,102,516
0,42,281,2541
0,52,302,3891
4,94,537,8350
0,62,265,3292
3,37,272,3539
2,28,107,346
0,323,482,10983
2,42,52,133
4,36,156,654
4,27,138,554
0,43,60,243
3,5,63,166
0,19,111,272
2,51,234,1581
3,105,537,8350
0,22,137,810
2,7,79,292
4,32,262,3211
0,38,264,2681
0,21,110,655
3,30,220,3450
2,22,234,1581
3,49,224,2192
4,45,272,3539
0,86,320,6522
1,35,183,931
4,37,188,2599
2,97,130,490
0,95,509,13313
4,158,109,486
2,16,79,292
0,65,306,7090
4,21,85,343
0,61,317,6400
3,24,154,1252
0,60,201,2316
2,20,54,165
0,11,72,226
5,35,132,1513
0,22,54,165
5,110,205,1751
2,101,449,5537
2,42,52,133
0,24,168,1211
3,28,156,1364
0,44,259,4146
2,42,52,133
3,27,174,1415
2,42,52,133
4,37,67,224
0,60,338,4723
0,176,279,5626
3,112,205,1751
2,122,88,318
5,43,196,1997
0,122,237,2679
4,18,102,516
4,58,224,2192
5,71,468,9276
2,8,79,292
2,83,449,5537
3,26,216,2677
2,42,234,1581
4,133,540,18067
3,93,136,619
0,42,179,1626
4,53,390,7459
4,45,174,1415
0,28,120,813
0,27,115,803
5,63,273,2061
3,94,158,1403
0,64,360,8725
2,57,79,292
3,33,156,1364
0,251,325,5739
0,90,354,2330
0,73,156,1211
4,19,86,205
4,20,196,1885
5,52,180,2054
4,31,71,249
5,35,196,1997
4,113,540,18067
0,24,158,1258
3,49,51,132
3,62,254,3885
0,83,375,5426
0,140,253,3970
2,29,249,3630
2,35,483,15505
1,6,33,5
4,42,156,654
3,38,214,1469
2,39,235,4905
2,33,154,587
0,11,108,487
3,44,234,2464
4,88,388,6290
2,15,79,317
3,42,216,2677
2,31,315,5844
4,83,540,8870
5,73,214,1469
4,74,134,970
2,43,235,4905
2,98,217,2904
0,41,230,4241
5,78,403,6746
0,12,109,484
4,37,156,654
2,123,88,318
4,29,71,249
0,34,235,2460
1,22,54,165
0,76,248,3538
4,16,148,729
3,7,63,166
2,29,85,343
4,53,390,7459
3,42,272,3539
4,20,85,343
3,68,223,2059
2,39,154,587
2,83,128,693
5,33,102,764
0,44,134,487
3,87,388,6290
4,51,390,7459
0,102,330,3715
5,66,320,3466
2,83,449,5537
0,60,286,2901
3,22,138,554
0,14,141,584
1,20,85,343
1,37,183,931
1,21,249,3630
4,125,208,1691
0,33,184,1210
0,80,380,7226
0,12,114,549
4,99,171,1747
0,44,165,1690
5,158,109,486
3,19,123,621
5,42,67,224
4,56,288,2334
3,88,172,973
4,18,220,3450
4,19,138,554
5,150,281,4061
0,15,97,322
3,49,315,5844
3,41,315,5844
0,318,388,7460
2,42,52,133
4,15,76,147
4,34,166,1111
3,38,67,224
3,20,88,292
4,22,166,1414
4,124,88,318
0,32,242,3060
4,48,223,2822
3,62,473,14125
4,90,403,6746
3,70,271,4426
0,7,97,400
4,13,79,292
1,8,33,5
3,18,138,554
5,27,131,271
3,27,194,1521
3,38,234,2464
0,26,230,3288
2,89,128,693
1,22,54,165
2,42,52,133
3,16,215,2188
2,20,54,165
3,11,166,1111
2,16,79,292
3,26,249,3630
0,7,53,72
5,36,108,428
2,25,249,3630
2,72,104,457
0,73,101,249
1,8,33,5
3,96,120,809
4,26,216,2677
4,36,93,545
2,98,537,8350
1,143,247,3373
3,44,254,3885
0,191,230,2061
5,55,322,4619
2,16,96,804
2,32,156,1364
0,44,311,4925
2,32,154,587
0,33,220,3203
